step,train_perplexity,val_perplexity
1,257.364590,nan
2,260.560411,nan
3,257.291949,nan
4,261.316418,nan
5,258.985541,nan
6,259.752212,258.553475
7,259.086578,258.553475
8,257.544562,258.553475
9,260.063409,258.553475
10,257.081138,258.553475
11,259.482710,259.183437
12,258.842697,259.183437
13,258.796294,259.183437
14,260.431105,259.183437
15,259.448686,259.183437
16,259.353567,259.454682
17,258.096678,259.454682
18,259.653762,259.454682
19,261.575102,259.454682
20,258.921702,259.454682
