step,train_loss,val_loss
1,5.550947,5.557775
2,5.554518,5.557775
3,5.559911,5.557775
4,5.561736,5.557775
5,5.553801,5.557775
6,5.558505,5.557856
7,5.558704,5.557856
8,5.553924,5.557856
9,5.549453,5.557856
10,5.568535,5.557856
11,5.555803,5.556782
12,5.557938,5.556782
13,5.563051,5.556782
14,5.557417,5.556782
15,5.556011,5.556782
16,5.552058,5.555756
17,5.555888,5.555756
18,5.562009,5.555756
19,5.561924,5.555756
20,5.553495,5.555756
