step,train_loss,val_loss
1,5.558314,5.560238
2,5.545294,5.560238
3,5.561249,5.560238
4,5.553656,5.560238
5,5.576871,5.560238
6,5.567801,5.543890
7,5.557467,5.543890
8,5.572243,5.543890
9,5.550825,5.543890
10,5.565449,5.543890
11,5.568713,5.575389
12,5.563625,5.575389
13,5.554218,5.575389
14,5.556222,5.575389
15,5.556335,5.575389
16,5.555278,5.555002
17,5.567374,5.555002
18,5.554655,5.555002
19,5.551026,5.555002
20,5.555327,5.555002
